epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,2583.55,0.85674,1.08539,0.64529,0.00242,0.29075,0.92673,0.87699,0.92982,0.82066,0.92131,0.86716,0.91871,0.73219,0.83104,1.22268,0.69769,0.00291,0,0.0298708,0.00995694,0.0298708,0.00995694,0.0298708,0.00995694,0.0298708,0.00995694
45,2641.27,0.83805,1.0682,0.60461,0.00241,0.25945,0.92982,0.87633,0.9369,0.82638,0.92627,0.86317,0.92231,0.72193,0.88359,1.3955,0.71529,0.00292,0,0.0298399,0.00994663,0.0298399,0.00994663,0.0298399,0.00994663,0.0298399,0.00994663
46,2699.98,0.83712,1.09297,0.60924,0.00225,0.25572,0.92895,0.87346,0.92888,0.82815,0.9274,0.86544,0.91844,0.74188,0.76416,1.17625,0.69262,0.0027,0,0.029809,0.00993633,0.029809,0.00993633,0.029809,0.00993633,0.029809,0.00993633
47,2757.97,0.81975,1.09684,0.59629,0.00233,0.27466,0.92156,0.8679,0.92769,0.82284,0.91628,0.85943,0.91879,0.75417,0.78409,1.19493,0.71133,0.00286,0,0.0297781,0.00992603,0.0297781,0.00992603,0.0297781,0.00992603,0.0297781,0.00992603
48,2816.05,0.83057,1.09592,0.60997,0.00233,0.27198,0.89122,0.88194,0.92614,0.81973,0.88555,0.8739,0.9134,0.73436,0.8135,1.23593,0.70119,0.00292,0,0.0297472,0.00991572,0.0297472,0.00991572,0.0297472,0.00991572,0.0297472,0.00991572
49,2874.44,0.85041,1.07745,0.60446,0.00231,0.24036,0.91593,0.89364,0.92979,0.82151,0.90587,0.88443,0.91753,0.73101,0.78368,1.20482,0.71229,0.00273,0,0.0297163,0.00990542,0.0297163,0.00990542,0.0297163,0.00990542,0.0297163,0.00990542
50,2932.11,0.83596,1.08307,0.58625,0.00227,0.23255,0.92317,0.88692,0.93825,0.82774,0.91497,0.87778,0.92551,0.75839,0.78799,1.18656,0.69938,0.00282,0,0.0296853,0.00989511,0.0296853,0.00989511,0.0296853,0.00989511,0.0296853,0.00989511
51,2991.24,0.82719,1.05661,0.59185,0.00218,0.23655,0.91122,0.88282,0.93147,0.8241,0.90757,0.8755,0.92221,0.7383,0.8107,1.22815,0.71797,0.0028,0,0.0296544,0.00988481,0.0296544,0.00988481,0.0296544,0.00988481,0.0296544,0.00988481
52,3049.4,0.83222,1.07146,0.58579,0.00222,0.24267,0.91662,0.90236,0.94097,0.82343,0.9244,0.87813,0.92755,0.7378,0.84858,1.27929,0.70349,0.00288,0,0.0296235,0.00987451,0.0296235,0.00987451,0.0296235,0.00987451,0.0296235,0.00987451
53,3107.09,0.82483,1.0471,0.58644,0.0023,0.25033,0.92635,0.89868,0.93012,0.82899,0.91767,0.88534,0.91337,0.74425,0.78201,1.20374,0.69386,0.0027,0,0.0295926,0.0098642,0.0295926,0.0098642,0.0295926,0.0098642,0.0295926,0.0098642
