epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,4974.69,0.36997,0.56558,0.43073,1.04773,0.97433,0.91639,0.97167,0.87625,0.97793,0.91982,0.97034,0.85873,0.38606,0.70399,0.4132,1.11497,0.00943144,0.00943144,0.00943144
96,5026.6,0.40097,0.60658,0.42364,1.08399,0.95158,0.96165,0.97462,0.88626,0.94333,0.95872,0.97394,0.87507,0.34785,0.66529,0.36486,1.07807,0.00942114,0.00942114,0.00942114
97,5078.41,0.37254,0.56868,0.37427,1.06271,0.97317,0.95951,0.97982,0.89672,0.97072,0.95519,0.97954,0.88643,0.3474,0.69845,0.34529,1.07339,0.00941084,0.00941084,0.00941084
98,5130.25,0.3572,0.54875,0.36128,1.04611,0.96499,0.95263,0.98054,0.89568,0.96499,0.95263,0.97909,0.88719,0.36165,0.66704,0.35468,1.08503,0.00940053,0.00940053,0.00940053
99,5182.36,0.35761,0.50905,0.35804,1.03889,0.9664,0.9686,0.98114,0.90488,0.9664,0.9686,0.98199,0.88449,0.34077,0.67239,0.34317,1.06234,0.00939023,0.00939023,0.00939023
100,5234.26,0.36442,0.55649,0.37055,1.04608,0.95922,0.93672,0.97766,0.89996,0.95922,0.93672,0.97663,0.88718,0.33304,0.73051,0.34923,1.06026,0.00937992,0.00937992,0.00937992
101,5285.99,0.36576,0.54409,0.36266,1.04857,0.97172,0.92205,0.98231,0.8887,0.97658,0.92521,0.98153,0.87226,0.36106,0.71598,0.37632,1.08151,0.00936962,0.00936962,0.00936962
102,5337.75,0.37602,0.55636,0.37238,1.05674,0.96421,0.96369,0.98096,0.90548,0.9676,0.96712,0.98278,0.89953,0.34083,0.74963,0.34662,1.05941,0.00935932,0.00935932,0.00935932
103,5388.95,0.37486,0.57684,0.38222,1.05615,0.95231,0.95771,0.98588,0.91297,0.95231,0.95771,0.98519,0.90465,0.3375,0.69653,0.33045,1.04999,0.00934901,0.00934901,0.00934901
104,5440.82,0.37504,0.56238,0.37925,1.0489,0.94844,0.94513,0.97395,0.89674,0.967,0.92728,0.97858,0.89517,0.34773,0.6659,0.35887,1.07351,0.00933871,0.00933871,0.00933871
105,5492.63,0.36287,0.54878,0.36596,1.04453,0.95923,0.96054,0.98321,0.90344,0.95923,0.96054,0.9787,0.90401,0.32739,0.80433,0.33801,1.05545,0.0093284,0.0093284,0.0093284
